ZIPCODE,CAPACITY,DATE
93256,226.022,1/2/2019
91708,2.287,1/2/2019
91708,2.859,1/2/2019
92311,5.586,1/2/2019
91758,2.287,1/2/2019
90621,3.735,1/2/2019
92879,3.831,1/2/2019
92618,2.287,1/2/2019
92618,2.287,1/2/2019
92618,2.287,1/2/2019
92618,2.287,1/2/2019
91321,13.012,1/2/2019
92551,8.357,1/2/2019
92336,2.403,1/2/2019
92336,2.136,1/2/2019
92555,9.775,1/2/2019
92260,26.757,1/2/2019
92557,2.573,1/2/2019
92404,7.82,1/2/2019
92234,5.778,1/2/2019
90505,4.747,1/2/2019
92543,3.284,1/2/2019
92405,5.837,1/2/2019
93277,3.716,1/2/2019
93291,3.144,1/2/2019
91730,5.778,1/2/2019
92782,4.856,1/2/2019
92507,4.517,1/2/2019
93015,10.193,1/2/2019
92883,3.614,1/2/2019
92555,2.793,1/2/2019
91803,7.843,1/2/2019
92595,7.705,1/2/2019
92870,5.136,1/2/2019
91701,6.919,1/2/2019
93534,2.287,1/2/2019
92557,6.853,1/2/2019
92507,2.71,1/2/2019
90631,2.65,1/2/2019
91764,2.71,1/2/2019
91730,6.264,1/2/2019
92584,5.145,1/2/2019
92373,4.056,1/2/2019
92284,10.32,1/2/2019
92570,7.027,1/2/2019
90805,3.226,1/2/2019
91301,15.63,1/2/2019
92887,9.862,1/2/2019
91354,8.099,1/2/2019
93551,4.783,1/2/2019
92692,4.051,1/2/2019
92301,6.453,1/2/2019
92404,3.687,1/2/2019
91722,3.773,1/2/2019
93560,3.09,1/2/2019
93536,6.82,1/2/2019
93550,2.793,1/2/2019
90631,4.554,1/2/2019
90621,0.899,1/2/2019
92234,6.484,1/2/2019
90717,5.586,1/2/2019
92708,8.989,1/2/2019
91741,4.125,1/2/2019
90242,4.801,1/2/2019
92691,5.786,1/2/2019
90242,8.802,1/2/2019
92630,6.847,1/2/2019
93033,5.148,1/2/2019
92648,5.644,1/2/2019
92336,8.736,1/2/2019
92530,2.929,1/2/2019
91745,5.128,1/2/2019
93257,5.778,1/2/2019
92344,3.336,1/2/2019
92691,3.237,1/2/2019
92780,3.189,1/2/2019
92563,6.671,1/2/2019
93536,4.289,1/2/2019
90503,3.342,1/2/2019
90713,4.867,1/2/2019
90713,4.001,1/2/2019
92376,5.294,1/2/2019
90713,2.845,1/2/2019
92530,9.981,1/2/2019
92612,7.406,1/2/2019
93291,5.994,1/2/2019
92544,3.748,1/2/2019
92585,5.766,1/2/2019
90706,6.544,1/2/2019
93561,2.997,1/2/2019
91739,249.752,1/3/2019
92311,10.613,1/3/2019
91752,2.859,1/3/2019
93561,3.451,1/3/2019
92270,8.989,1/3/2019
91350,74.607,1/3/2019
92584,4.82,1/3/2019
92374,5.997,1/3/2019
92345,5.162,1/3/2019
91350,7.261,1/3/2019
92223,4.054,1/3/2019
93274,4.593,1/3/2019
92234,9.495,1/3/2019
92270,4.019,1/3/2019
92530,3.72,1/3/2019
92336,4.019,1/3/2019
93291,2.87,1/3/2019
93291,4.593,1/3/2019
92880,4.5,1/3/2019
92883,4.019,1/3/2019
93010,2.71,1/3/2019
93274,6.811,1/3/2019
92530,2.71,1/3/2019
91737,19.382,1/3/2019
92596,6.364,1/3/2019
93030,5.778,1/3/2019
92584,3.614,1/3/2019
92571,4.628,1/3/2019
