Zip,Latitude,Longitude
91319,34.032383,-119.1343
92503,33.91355,-117.46052
94211,38.377411,-121.444429
91902,32.663803,-117.02456
95901,39.15973,-121.53735
94156,37.784827,-122.727802
92616,33.640302,-117.769442
96101,41.439363,-120.58771
91802,33.786594,-118.298662
95835,38.664824,-121.52061
90210,34.088808,-118.40612
91030,34.112958,-118.15577
92318,34.048544,-117.23274
92338,34.720285,-116.1982
95939,39.535446,-122.57667
93646,36.623699,-119.30892
91001,34.192102,-118.14206
94592,38.115015,-122.29055
94807,37.777208,-121.955399
95328,37.5596,-120.9141
92192,33.016928,-116.846046
92357,34.839964,-115.967051
90013,34.044662,-118.24255
91340,34.284935,-118.43821
91377,34.182875,-118.76893
92096,33.016928,-116.846046
92801,33.844814,-117.95381
93776,36.746375,-119.639658
91394,33.786594,-118.298662
91798,34.839964,-115.967051
95492,38.54486,-122.80785
95540,40.583488,-124.14367
91308,33.786594,-118.298662
95954,39.888074,-121.59048
92249,32.726931,-115.51245
93445,35.097599,-120.61327
95159,37.189396,-121.705327
92585,33.742936,-117.17432
92066,33.209313,-116.54244
92418,34.839964,-115.967051
92571,33.822068,-117.21514
95487,38.463088,-122.989975
95950,39.070128,-121.8981
94029,37.381144,-122.334825
94303,37.449888,-122.12749
95982,39.16855,-121.76465
93710,36.825582,-119.76358
90011,34.007063,-118.25868
92002,33.198032,-117.234701
92841,33.786915,-117.98224
93711,36.831723,-119.83198
95741,38.377411,-121.444429
95922,39.469943,-121.07321
91017,33.786594,-118.298662
92170,33.016928,-116.846046
92604,33.68762,-117.78852
93102,34.262834,-119.848555
95405,38.438161,-122.67419
93930,36.21106,-121.05986
94597,37.777208,-121.955399
94975,38.463088,-122.989975
95585,39.860285,-123.71685
94803,37.969673,-122.29413
95935,39.381883,-121.21763
95631,39.033312,-120.82172
94230,38.377411,-121.444429
96133,38.651141,-119.49874
92815,33.640302,-117.769442
93644,37.405699,-119.56754
95201,37.672196,-121.298794
94925,37.924242,-122.516
96073,40.562648,-122.2255
96095,40.607134,-122.54626
95559,40.196116,-123.77315
95821,38.623304,-121.38181
95945,39.202725,-121.02076
96120,38.76467,-119.85236
93407,35.347065,-120.455345
93740,36.746375,-119.639658
95208,37.889849,-121.253872
90008,34.009754,-118.33705
91495,33.786594,-118.298662
92521,33.752886,-116.055617
95070,37.270543,-122.02305
95624,38.421068,-121.36059
91365,33.786594,-118.298662
90202,33.786594,-118.298662
95450,38.506229,-123.22938
95947,40.144573,-120.88311
91402,34.223753,-118.44322
92625,33.600172,-117.86823
95961,39.089929,-121.55053
91903,33.016928,-116.846046
94142,37.784827,-122.727802
92823,33.918965,-117.83252
91131,33.786594,-118.298662
92399,34.033564,-117.03776
95957,39.070323,-121.83065
93225,34.815266,-119.00404
94244,38.377411,-121.444429
91410,33.786594,-118.298662
93844,36.746375,-119.639658
90094,33.786594,-118.298662
92683,33.751418,-117.99392
95721,38.823996,-120.05956
91730,34.104555,-117.58734
93190,34.262834,-119.848555
95746,38.743811,-121.19013
92614,33.680408,-117.82592
94024,37.353741,-122.08717
94263,38.377411,-121.444429
96162,39.26599,-120.64145
92168,33.016928,-116.846046
94122,37.75838,-122.48478
94309,37.189396,-121.705327
95528,40.489925,-123.97132
92655,33.745166,-117.98569
93390,35.294405,-118.905173
92564,33.752886,-116.055617
95696,38.34896,-121.908324
96041,40.524496,-123.18307
90079,33.786594,-118.298662
90670,33.933551,-118.06821
90742,33.718167,-118.07179
91436,34.155625,-118.48925
91482,33.786594,-118.298662
91606,34.185698,-118.38836
93518,35.381552,-118.54748
91191,33.786594,-118.298662
92091,32.993541,-117.21311
92211,33.759409,-116.32317
92423,34.839964,-115.967051
92551,33.889035,-117.22046
94017,37.381144,-122.334825
95389,37.699662,-119.67529
96071,40.646417,-121.4418
91376,33.786594,-118.298662
92179,32.572602,-116.918724
94141,37.784827,-122.727802
95351,37.626067,-120.99955
96132,40.921124,-120.62265
96161,39.339574,-120.22805
94562,38.437887,-122.399101
92071,32.84681,-116.98983
95817,38.551106,-121.45996
95833,38.616891,-121.49623
95190,37.189396,-121.705327
94515,38.597907,-122.60952
93218,35.842485,-119.01483
93532,34.676708,-118.45592
94285,38.377411,-121.444429
95303,37.46994,-120.67607
95353,37.60396,-120.937052
90230,33.997179,-118.40145
92270,33.762944,-116.42249
92327,34.866837,-116.86379
95065,37.010322,-121.98523
95689,38.473857,-120.59421
96056,41.114424,-121.332
95385,37.609781,-121.26784
95709,38.748112,-120.67463
94203,38.380456,-121.555406
91031,33.786594,-118.298662
91380,33.786594,-118.298662
